time,0,2,3,3.3,3.7,4.5,5.5,6.5,7,7.5,8,8.5,9,10,10.5,11
head_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
head_motor_1,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
left_arm_motor_0,0,0,1.6,1.6,1.6,2.8,3.2,2,1.3,1.8,1,0.9,0.9,0.9,0.9,0.9
left_arm_motor_1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
left_arm_motor_2,0,0,0,0,0,0,2,2,1.3,0,0,0,0,0,0,0
left_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_1,0,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_2,0,-1,1,1,1,0,1,1.5,2.3,2.3,2.3,1.6,1.04,1.04,1.04,1.04
left_leg_motor_3,0,0,0,-1,0,0,-1,-1.3,-1.8,-2.1,-3,-3,-3,-3,-2.3,-2.3
left_leg_motor_4,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.8,2.2,2.2,1.4,1.4
left_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_arm_motor_0,0,2.8,2.8,2.8,2.8,2.8,3.2,2,1.3,1.8,1,0.9,0.9,0.9,0.9,0.9
right_arm_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_arm_motor_2,0,0,0,0,0,0,2,2,1.3,0,0,0,0,0,0,0
right_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_2,0,1,-1,-1,-1,0,1,1.5,2.3,2.3,2.3,1.6,1.04,1.04,1.04,1.04
right_leg_motor_3,0,0,0,0,0,0,-1,-1.3,-1.8,-2.1,-3,-3,-3,-3,-2.3,-2.3
right_leg_motor_4,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.8,2.2,2.2,1.4,1.4
right_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
