0,-0.044595,1.0187,-1.4042,0.38545,0.044595,0,-0.20433,0.67175,-1.4973,0.82551,0.20433
0,-0.033301,1.0171,-1.4083,0.39119,0.033301,0,-0.19346,0.66956,-1.5016,0.83202,0.19346
0,-0.022335,1.0151,-1.4122,0.39712,0.022335,0,-0.18287,0.66692,-1.5055,0.83853,0.18287
0,-0.011681,1.0128,-1.416,0.40322,0.011681,0,-0.17255,0.66386,-1.5089,0.84504,0.17255
0,-0.001322,1.0102,-1.4197,0.40949,0.001322,0,-0.16248,0.66039,-1.5119,0.85153,0.16248
0,0.0087571,1.0073,-1.4232,0.41591,-0.0087571,0,-0.15265,0.65655,-1.5146,0.85802,0.15265
0,0.018571,1.0042,-1.4266,0.42247,-0.018571,0,-0.14304,0.65235,-1.5168,0.8645,0.14304
0,0.028134,1.0008,-1.4299,0.42916,-0.028134,0,-0.13366,0.64781,-1.5188,0.87096,0.13366
0,0.03746,0.99711,-1.4331,0.43597,-0.03746,0,-0.12448,0.64296,-1.5204,0.8774,0.12448
0,0.046561,0.99322,-1.4361,0.44289,-0.046561,0,-0.11549,0.63781,-1.5216,0.88381,0.11549
0,0.05545,0.98912,-1.439,0.44991,-0.05545,0,-0.10669,0.63237,-1.5226,0.8902,0.10669
0,0.064137,0.98479,-1.4418,0.45701,-0.064137,0,-0.098061,0.62667,-1.5232,0.89656,0.098061
0,0.072634,0.98027,-1.4445,0.4642,-0.072634,0,-0.089599,0.62071,-1.5236,0.90288,0.089599
0,0.08095,0.97554,-1.447,0.47146,-0.08095,0,-0.081294,0.6145,-1.5237,0.90915,0.081294
0,0.089097,0.97062,-1.4494,0.47878,-0.089097,0,-0.073138,0.60807,-1.5235,0.91538,0.073138
0,0.097082,0.96551,-1.4517,0.48615,-0.097082,0,-0.065122,0.60142,-1.523,0.92156,0.065122
0,0.10491,0.96023,-1.4538,0.49357,-0.10491,0,-0.057238,0.59456,-1.5222,0.92768,0.057238
0,0.1126,0.95477,-1.4558,0.50102,-0.1126,0,-0.049481,0.5875,-1.5212,0.93374,0.049481
0,0.12015,0.94915,-1.4576,0.5085,-0.12015,0,-0.041843,0.58026,-1.52,0.93973,0.041843
0,0.12757,0.94336,-1.4594,0.51601,-0.12757,0,-0.034317,0.57284,-1.5185,0.94566,0.034317
0,0.13487,0.93741,-1.4609,0.52353,-0.13487,0,-0.026899,0.56524,-1.5168,0.95151,0.026899
0,0.14205,0.93131,-1.4624,0.53106,-0.14205,0,-0.019581,0.55749,-1.5148,0.95727,0.019581
0,0.14913,0.92505,-1.4636,0.53858,-0.14913,0,-0.012359,0.54958,-1.5125,0.96296,0.012359
0,0.15609,0.91865,-1.4648,0.54611,-0.15609,0,-0.0052278,0.54152,-1.5101,0.96856,0.0052278
0,0.16296,0.91211,-1.4657,0.55362,-0.16296,0,0.0018175,0.53332,-1.5074,0.97407,-0.0018175
0,0.16973,0.90543,-1.4665,0.56112,-0.16973,0,0.0087814,0.52498,-1.5045,0.97948,-0.0087814
0,0.17642,0.89862,-1.4672,0.56859,-0.17642,0,0.015668,0.51652,-1.5013,0.98479,-0.015668
0,0.18302,0.89167,-1.4677,0.57604,-0.18302,0,0.022482,0.50793,-1.4979,0.99,-0.022482
0,0.18953,0.88459,-1.468,0.58345,-0.18953,0,0.029225,0.49922,-1.4943,0.9951,-0.029225
0,0.19597,0.87739,-1.4682,0.59082,-0.19597,0,0.035903,0.4904,-1.4905,1.0001,-0.035903
0,0.20234,0.87006,-1.4682,0.59815,-0.20234,0,0.042518,0.48147,-1.4864,1.005,-0.042518
0,0.20863,0.86262,-1.468,0.60543,-0.20863,0,0.049074,0.47243,-1.4822,1.0097,-0.049074
0,0.21486,0.85505,-1.4677,0.61266,-0.21486,0,0.055573,0.46329,-1.4777,1.0144,-0.055573
0,0.22103,0.84738,-1.4672,0.61983,-0.22103,0,0.062017,0.45406,-1.473,1.0189,-0.062017
0,0.22713,0.83959,-1.4665,0.62694,-0.22713,0,0.068411,0.44473,-1.468,1.0233,-0.068411
0,0.23318,0.83169,-1.4657,0.63398,-0.23318,0,0.074755,0.43532,-1.4629,1.0276,-0.074755
0,0.23916,0.82368,-1.4646,0.64096,-0.23916,0,0.081052,0.42581,-1.4575,1.0317,-0.081052
0,0.2451,0.81557,-1.4634,0.64785,-0.2451,0,0.087304,0.41622,-1.4519,1.0357,-0.087304
0,0.25098,0.80735,-1.462,0.65468,-0.25098,0,0.093514,0.40655,-1.4461,1.0396,-0.093514
0,0.25682,0.79904,-1.4605,0.66142,-0.25682,0,0.099682,0.3968,-1.4401,1.0433,-0.099682
0,0.2626,0.79063,-1.4587,0.66807,-0.2626,0,0.10581,0.38698,-1.4339,1.0469,-0.10581
0,0.26802,0.78264,-1.4569,0.67422,-0.26802,0,0.11157,0.37769,-1.4278,1.0501,-0.11157
0,0.27311,0.77506,-1.455,0.67991,-0.27311,0,0.11697,0.36893,-1.4219,1.053,-0.11697
0,0.27787,0.76788,-1.453,0.68516,-0.27787,0,0.12204,0.36065,-1.4163,1.0556,-0.12204
0,0.28234,0.76108,-1.4511,0.69002,-0.28234,0,0.1268,0.35284,-1.4108,1.058,-0.1268
0,0.28653,0.75464,-1.4492,0.69452,-0.28653,0,0.13127,0.34547,-1.4056,1.0601,-0.13127
0,0.29045,0.74855,-1.4472,0.69869,-0.29045,0,0.13547,0.33851,-1.4005,1.062,-0.13547
0,0.29414,0.74279,-1.4453,0.70256,-0.29414,0,0.13941,0.33196,-1.3957,1.0637,-0.13941
